名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
食尚年华田园综合体,http://travel.qunar.com/p-oi39414651-shishangnianhuatianyuan,,,,,5.0,,,,,1
蝈蝈部落,http://travel.qunar.com/p-oi39409522-guoguobuluo,,蝈蝈部落景区，位于漯河市临颍县大郭镇胡桥村，占地约300亩，是胡桥村乡村振兴总体规划田园综合体项目之一。乐园距市区仅30分钟车程，是城郊原生态户外大型亲子乐园，是涵盖亲子游乐、休闲旅游、特色商业等多种功能的全方位亲子旅游项目。园区包含小火车、丛林穿越、玻璃栈道、彩虹滑道、大型滑梯、恐龙园、网红秋千、蹦蹦云、萌宠乐园等20多项游乐设施。,,,5.0,建议游览时间：1小时 - 7小时,,,,1
漯湾古镇,http://travel.qunar.com/p-oi38672212-luowanguzhen,,漯湾古镇以美食文化为贯穿，以渡口商贸、军事、汉字、民俗、牛行文化为基础，打造以忠义塔、金鼎广场、灶王殿、城八景等为特色的两大文旅景点，让人身临其境般的体验活态的漯河文化，构筑成了一个独具中原特色的中国沉浸式美食文化体验地。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
黄龙湿地公园Linyingxian Huanglong Wetland Park,http://travel.qunar.com/p-oi35215353-huanglongshidigongyuan,,临颍县黄龙湿地公园内有文化广场、童趣乐园、湖心岛、假山、桥、凉亭、瀑布等景点，是集蓄水、生态、景观、休闲、文化于一体的综合性公园。,,,5.0,建议游览时间：3小时,,,,3
百雅步行街BaiYa BuXingJie,http://travel.qunar.com/p-oi24437554-baiyabuxingjie,,,,,5.0,,,具体收费情况以现场公示为主,,5
杨再兴墓Yang Zhangxing’s Tomb,http://travel.qunar.com/p-oi24411764-yangzaixingmu,,,,,5.0,,,,,5
中心广场Center Square,http://travel.qunar.com/p-oi19973646-zhongxinguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,7
全国村长论坛纪念馆Quanguo Cunzhang Luntan Memorial Hall,http://travel.qunar.com/p-oi19972774-quanguocunzhangluntan,,,,,5.0,,,具体收费情况以现场公示为主,,8
郾城区图书馆Xian Library,http://travel.qunar.com/p-oi19473295-yanchengqutushuguan,,,,,5.0,,,具体收费情况以现场公示为主,,10
陈星聚纪念馆Chenxingju Memorial Hall,http://travel.qunar.com/p-oi19463837-chenxingjujinianguan,,陈星聚纪念馆古朴典雅、建筑精美，馆内有享堂、石牌坊、生平陈列室等景点。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/4da73666-93ac-4cc5-90d0-24350abc0e36.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,10
